x,y,z,colorb_v,colorv_i,lum,Mv,mv,hipno,vx,vy,vz,speed,starname
-5.58,-33.54,-15.14,0.53,0.61,0.0812,2.7,5.6,31079,-7.95,-5.23,21.49,23.50,"0631-5150"
-77.18,-69.04,-18.28,1.26,1.16,0.954,0.1,5.2,31084,6.42,-10.40,19.53,23.04,"0631-1224"
-46.59,-29.16,-4.98,0.85,0.89,0.00288,6.4,10.1,31085,-29.12,-68.72,-100.79,125.42,"0631-0134"
-329.74,-296.59,-78.83,-0.16,-0.16,3.87,-1.5,6.8,31088,2.77,15.30,-1.56,15.63,"0631-1233"
-478.30,22.71,104.91,0.94,0.93,5.31,-1.8,6.6,31096,1.88,3.37,-10.28,10.98,"0631+3710"
-112.77,-244.38,-95.88,1.60,2.31,2.56,-1.0,6.3,31099,-98.94,-4.00,21.55,101.34,"0631-3656 SX Col"
-821.34,-231.16,49.83,1.49,1.51,11.2,-2.6,7.0,31100,8.19,2.31,-9.47,12.74,"0631+1649"
-756.57,-25.24,136.66,-0.07,-0.04,8.17,-2.3,7.2,31104,12.34,-74.86,-13.86,77.13,"0631+3209"
-98.19,-29.17,5.24,0.28,0.31,0.295,1.3,6.4,31105,-9.99,5.91,2.09,11.80,"0631+1554 19 Gem"
-896.67,-441.19,-36.54,0.09,0.10,6.55,-2.0,8.0,31106,-11.48,8.90,9.29,17.24,"0631+0501"
-769.13,-282.98,14.82,-0.12,-0.10,14.8,-2.9,6.6,31107,0.69,6.92,-41.05,41.64,"0631+1147"
-74.74,-21.94,4.12,1.60,1.57,0.00409,6.0,10.4,31108,-7.14,11.20,6.93,14.98,"0631+1606"
-92.34,-42.38,-2.22,0.82,0.84,0.126,2.2,7.3,31118,19.56,15.67,-24.93,35.35,"0631+0647"
-60.68,-22.61,1.08,0.18,0.20,0.343,1.2,5.2,31119,10.98,22.15,16.40,29.67,"0631+1133"
-208.02,-162.62,-37.33,1.37,1.26,4.79,-1.7,5.4,31121,22.43,0.17,-16.13,27.63,"0631-0809"
-373.89,-480.47,-157.81,-0.24,-0.24,72.6,-4.7,4.3,31125,-23.62,8.03,0.84,24.96,"0631-2325 xi1 CMa"
-71.61,-41.54,-5.87,0.66,0.72,0.0117,4.8,9.4,31127,-57.43,-4.41,-95.70,111.70,"0631+0039"
-896.54,-441.54,-35.58,0.10,0.11,8.95,-2.4,7.6,31128,-24.96,1.46,7.19,26.01,"0631+0501"
-454.75,-224.81,-18.33,0.09,0.10,5.14,-1.8,6.8,31130,-24.15,2.37,4.28,24.64,"0631+0456"
3.87,-24.44,-12.55,0.78,0.82,0.00379,6.1,8.3,31134,67.59,29.79,-6.03,74.11,"0631-6842"
-6.90,-200.62,-95.33,-0.06,-0.04,2.62,-1.0,5.7,31137,6.95,15.82,7.09,18.67,"0631-5845 mu Pic"
-28.85,0.11,5.78,1.24,1.40,0.000985,7.5,9.9,31142,-0.51,0.86,-36.07,36.08,"0632+3431"
-34.95,3.48,8.62,1.01,1.05,0.00236,6.6,9.4,31143,-20.27,-5.05,2.02,20.99,"0632+4024"
-235.24,-111.49,-6.92,-0.04,-0.02,1.42,-0.4,6.7,31147,-11.56,6.20,0.17,13.12,"0632+0602"
-894.83,-444.94,-36.19,0.15,0.16,12.1,-2.7,7.3,31149,-26.51,0.96,6.16,27.23,"0632+0449"
-188.20,98.60,85.00,1.15,1.12,0.564,0.6,7.4,31154,29.01,-53.18,1.23,60.59,"0632+6245"
-107.58,-28.72,7.65,0.40,0.47,0.214,1.7,6.9,31156,7.89,21.36,33.07,40.15,"0632+1746"
-104.66,-27.94,7.45,0.54,0.61,0.369,1.1,6.3,31158,9.90,19.56,30.74,37.76,"0632+1747"
-142.05,-70.60,-5.60,1.00,0.96,1.12,-0.1,5.9,31159,-14.39,19.35,-16.98,29.49,"0632+0451 12 Mon"
-62.66,-215.41,-91.11,1.07,1.08,0.802,0.2,7.2,31161,45.13,5.27,25.27,51.99,"0632-4518"
-142.05,-42.89,7.75,0.69,0.75,0.296,1.3,7.2,31164,22.86,17.79,5.14,29.42,"0632+1542"
-31.99,-71.99,-28.23,0.98,0.96,0.556,0.6,5.2,31165,28.13,-39.77,10.47,49.82,"0632-3742"
-34.72,-25.24,-5.19,0.26,0.29,0.108,2.4,5.6,31167,31.65,22.44,5.95,39.26,"0632-0552"
-239.69,-89.08,5.09,1.07,0.94,2.42,-1.0,6.1,31168,43.19,-14.03,-11.40,46.82,"0632+1140"
-82.86,-2.49,15.39,0.19,0.21,0.334,1.2,5.8,31173,16.07,14.41,-6.81,22.63,"0632+3227 WW Aur"
-447.35,-531.62,-165.71,-0.14,-0.14,6.42,-2.0,7.2,31178,-4.15,29.20,11.11,31.52,"0632-2101"
-47.25,-35.09,-7.36,0.56,0.64,0.0128,4.7,8.6,31188,13.40,-20.01,72.52,76.41,"0632-0629"
-120.76,-213.10,-78.05,-0.18,-0.19,3.37,-1.3,5.7,31190,-3.71,1.85,-0.64,4.19,"0632-3202"
-195.37,-135.64,-25.80,-0.01,0.01,0.142,2.1,9.0,31196,5.21,11.88,4.67,13.79,"0632-0426"
-81.08,-42.03,-3.85,0.52,0.59,0.102,2.5,7.3,31197,8.11,12.22,7.69,16.56,"0632+0348"
-786.17,-603.85,-131.57,0.33,0.38,6.31,-2.0,8.0,31199,-10.02,15.32,11.37,21.55,"0632-0730"
-90.52,-78.27,-19.31,1.10,0.95,0.444,0.9,6.3,31205,8.12,24.49,1.27,25.83,"0632-1110"
-736.69,-655.59,-165.79,0.67,-0.05,7.38,-2.2,7.8,31212,2.50,13.27,-16.13,21.03,"0632-1203"
-421.92,-190.48,-6.07,0.02,0.09,34.9,-3.9,4.5,31216,0.39,3.58,-6.47,7.40,"0632+0720 13 Mon"
-265.77,-819.54,-339.19,1.65,2.14,5.66,-1.9,8.0,31221,-10.80,-0.81,-11.29,15.65,"0632-4334"
-745.22,-59.54,122.56,0.97,0.96,3.43,-1.3,8.1,31230,-34.71,43.27,-47.82,73.23,"0633+2924"
-192.86,-12.58,33.09,0.26,0.29,0.194,1.8,8.2,31233,21.75,13.29,4.42,25.87,"0633+3019"
-269.36,-107.00,3.38,0.27,0.31,0.276,1.4,8.7,31235,-7.81,7.06,1.45,10.63,"0633+1019"
-388.78,-109.85,26.26,-0.01,0.01,1.43,-0.4,7.7,31236,14.88,13.88,-2.45,20.49,"0633+1656"
-642.21,-366.37,-45.17,1.75,1.78,9.71,-2.5,6.9,31237,3.29,-2.28,-2.51,4.72,"0633+0116"
-229.41,46.20,68.73,-0.04,-0.01,0.926,0.1,7.0,31238,14.57,14.70,7.07,21.87,"0633+4628"
-598.59,-751.79,-238.34,1.05,1.02,5.64,-1.9,8.1,31239,-64.00,23.62,7.30,68.61,"0633-2236"
-52.96,-124.94,-49.06,1.00,0.92,0.553,0.6,6.4,31241,10.52,-12.64,-7.20,17.96,"0633-3838"
-30.02,-14.64,-0.90,0.86,0.90,0.00765,5.3,7.9,31246,15.56,-6.07,16.55,23.51,"0633+0527"
-26.12,-168.37,-75.16,1.09,1.07,1.17,-0.2,6.2,31265,-26.73,25.19,-14.16,39.36,"0633-5220"
-70.84,-84.18,-25.77,0.82,0.85,0.355,1.1,6.4,31266,20.13,13.34,-6.90,25.11,"0633-2055"
-74.38,-24.63,3.48,1.10,0.98,0.364,1.1,5.6,31277,28.97,-5.93,-13.09,32.33,"0633+1409"
-139.07,-86.86,-12.96,-0.13,-0.12,2.49,-1.0,5.1,31278,-2.01,-6.98,0.80,7.31,"0633-0113"
-982.92,-102.05,153.13,1.23,1.19,9.82,-2.5,7.5,31287,14.93,1.59,-4.76,15.76,"0633+2758"
-133.52,-3.07,25.97,0.06,0.07,0.452,0.9,6.5,31290,19.84,14.23,11.55,27.00,"0633+3301"
-50.42,-106.61,-40.48,1.42,1.32,1.06,-0.1,5.4,31299,-58.45,9.50,7.95,59.74,"0633-3614"
-125.62,-300.29,-117.36,0.92,0.92,0.634,0.5,8.2,31302,9.30,17.18,1.18,19.57,"0633-3850"
-414.59,-210.31,-14.90,0.25,0.28,1.06,-0.1,8.3,31303,-2.07,6.89,4.87,8.69,"0633+0431"
-811.18,-409.45,-27.93,0.30,0.34,6.5,-2.0,7.8,31305,-9.91,13.79,8.00,18.77,"0633+0439"
-90.96,28.12,32.19,0.31,0.35,0.174,1.9,6.9,31309,-13.10,-15.14,-0.82,20.04,"0633+5227"
-282.23,-33.67,42.23,1.05,1.02,0.609,0.5,7.8,31310,-20.65,-11.61,16.93,29.12,"0633+2702"
-874.96,-481.86,-47.60,0.58,0.65,5.45,-1.8,8.2,31337,-1.97,-4.09,-5.86,7.41,"0634+0223"
-280.06,16.25,65.98,0.98,0.96,1.8,-0.6,6.7,31340,23.89,1.69,6.79,24.90,"0634+3804"
-178.89,-95.27,-8.08,0.90,0.97,0.518,0.7,7.2,31346,2.78,4.30,4.28,6.67,"0634+0318"
-340.85,-227.56,-37.29,1.42,1.40,3.92,-1.5,6.6,31344,-8.09,8.09,3.23,11.89,"0634-0304"
-134.62,-62.87,-1.87,0.10,0.11,0.213,1.7,7.5,31347,25.79,8.22,-0.97,27.08,"0634+0641"
-875.97,-480.17,-45.90,0.29,0.34,6.55,-2.0,8.0,31348,-24.16,18.32,-24.82,39.18,"0634+0232"
-309.36,-92.81,20.30,3.00,3.01,0.367,1.1,8.6,31349,-17.35,5.50,4.98,18.87,"0634+1604"
-421.09,153.48,160.89,1.55,1.57,5.96,-1.9,6.5,31359,33.56,17.15,10.01,38.99,"0634+5521 7 Lyn"
-68.37,-124.81,-44.99,-0.09,-0.07,1.26,-0.2,5.6,31362,-4.77,-8.23,1.56,9.64,"0634-3243"
-209.35,-104.79,-6.00,1.49,1.51,1.17,-0.2,6.7,31363,-13.69,-56.16,5.57,58.07,"0634+0458"
-916.46,-400.13,1.61,0.09,0.10,2.38,-0.9,9.1,31365,30.61,8.92,31.39,44.74,"0634+0821"
-171.23,-41.85,15.98,0.01,0.03,0.465,0.8,7.1,31368,-27.80,-2.29,11.67,30.24,"0634+1925"
-359.60,-288.48,-61.65,0.02,0.04,0.624,0.5,8.8,31371,-1.82,16.77,1.16,16.91,"0634-0836"
-957.33,125.49,260.33,2.00,1.99,2.73,-1.1,8.9,31379,51.28,-9.10,-27.60,58.94,"0634+4230"
-64.62,3.02,14.99,0.93,0.98,0.00316,6.2,10.4,31380,-34.58,15.91,-65.74,75.97,"0634+3725"
-211.32,-90.50,1.39,0.06,0.07,0.0998,2.5,9.3,31383,5.97,13.18,-3.87,14.98,"0634+0849"
-101.16,-45.67,-0.44,-0.01,0.01,0.327,1.2,6.4,31385,-25.54,0.79,-2.53,25.68,"0634+0734 14 Mon"
-952.46,-298.93,58.89,0.94,0.93,15,-2.9,7.1,31404,12.97,4.08,-0.58,13.61,"0634+1519"
-69.47,-489.92,-217.57,-0.02,0.06,53.2,-4.3,4.3,31407,-26.08,4.17,-13.20,29.53,"0634-5259"
-932.21,-361.03,25.42,0.30,0.34,6.14,-2.0,8.0,31411,-22.91,1.24,13.01,26.37,"0635+1107"
-202.31,-31.44,27.76,1.21,1.17,0.324,1.2,7.8,31412,9.97,5.87,0.02,11.57,"0635+2455"
-75.55,-96.66,-29.85,-0.04,-0.01,2.44,-1.0,4.5,31416,-12.66,-2.81,12.30,17.87,"0635-2258 xi2 CMa"
-798.15,32.18,183.81,1.01,0.99,7.37,-2.2,7.4,31424,-6.02,-49.01,-17.16,52.28,"0635+3703"
-146.18,49.58,54.40,0.54,0.61,0.164,2.0,8.0,31433,-20.20,-3.60,-2.49,20.67,"0635+5405"
-134.50,-14.23,21.73,-0.01,0.01,1.48,-0.4,5.3,31434,-7.29,6.85,6.41,11.88,"0635+2801 49 Aur"
-215.61,-112.49,-7.56,0.10,0.12,0.38,1.0,8.0,31443,0.85,17.84,-0.10,17.86,"0635+0358"
-756.25,-441.78,-48.83,0.00,0.05,37.5,-3.9,5.8,31446,2.60,9.27,-10.33,14.12,"0635+0053"
-449.34,-183.49,8.44,1.51,1.54,10,-2.5,5.9,31448,-20.91,-14.25,0.53,25.31,"0635+0959"
-216.49,10.95,51.14,0.80,0.83,0.779,0.3,7.0,31454,-18.64,-16.93,-7.13,26.17,"0635+3742"
-70.25,-153.06,-57.45,-0.13,-0.12,1.84,-0.7,5.6,31457,-16.96,4.42,-0.44,17.54,"0635-3647"
-897.06,-441.55,-17.83,1.73,2.17,6.43,-2.0,8.0,31466,-30.16,10.05,34.19,46.69,"0635+0530"
-406.63,74.60,121.98,1.37,3.50,1.09,-0.1,8.1,31484,-1.59,-10.70,15.35,18.78,"0635+4537"
-960.82,-265.02,81.13,1.13,1.09,12.5,-2.7,7.3,31508,-16.81,-10.35,-101.72,103.61,"0635+1741"
-16.32,-34.53,-12.78,0.49,0.56,0.0463,3.3,6.4,31509,8.71,-7.58,-16.62,20.23,"0635-3605"
-895.28,-445.16,-17.76,0.22,0.24,4.79,-1.7,8.3,31513,-8.43,8.95,-0.01,12.30,"0635+0518"
-119.14,-4.58,23.44,0.14,0.15,0.173,1.9,7.3,31519,-6.02,-12.07,7.31,15.34,"0635+3217"
-388.39,-199.34,-10.46,-0.05,-0.03,4.57,-1.7,6.5,31523,5.06,0.69,-0.82,5.17,"0636+0429"
-75.45,-21.97,5.87,0.44,0.51,0.126,2.2,6.7,31525,-16.56,-5.55,10.36,20.31,"0636+1647"
-72.08,27.66,28.53,0.40,0.46,0.161,2.0,6.6,31526,-5.47,3.93,-13.06,14.69,"0636+5623"
-926.63,-375.27,23.09,0.40,0.46,7.73,-2.2,7.8,31542,-1.09,14.59,-2.41,14.83,"0636+1017"
-80.46,-89.68,-24.76,0.33,0.38,0.0839,2.7,8.1,31560,-18.36,-3.31,-4.39,19.17,"0636-1839"
-55.48,-61.84,-17.07,0.85,0.86,0.374,1.1,5.7,31564,-12.96,3.29,0.90,13.40,"0636-1840 nu1 CMa"
-900.20,-435.36,-9.58,-0.07,-0.04,17.9,-3.1,6.9,31567,-30.17,5.63,1.23,30.72,"0636+0604"
-35.37,-4.24,5.67,0.65,0.71,0.0228,4.1,6.9,31568,-18.95,-2.87,6.37,20.20,"0636+2716"
-36.14,27.49,20.76,0.70,0.76,0.0191,4.3,7.8,31575,-62.47,0.80,3.66,62.58,"0636+7200"
-157.59,-71.41,0.67,0.04,0.05,0.0492,3.3,9.5,31577,19.57,14.32,3.39,24.49,"0636+0742"
-538.56,32.80,132.37,2.77,2.84,21.4,-3.3,5.4,31579,-11.94,-33.59,-16.49,39.28,"0636+3827 UU Aur"
-46.43,-15.80,2.67,0.88,0.89,0.00412,6.0,9.4,31581,66.25,-31.39,-40.79,83.89,"0636+1359"
-206.17,-149.21,-25.27,-0.08,-0.06,4.05,-1.5,5.5,31583,-1.98,-14.04,0.05,14.18,"0636-0513"
-12.82,-14.59,-4.06,1.04,1.02,0.104,2.5,4.0,31592,13.70,7.58,9.37,18.24,"0636-1915 nu2 CMa"
-138.67,-176.34,-52.58,-0.12,-0.10,1.53,-0.5,6.3,31593,-19.74,-2.62,-5.01,20.54,"0636-2237"
-261.37,-49.16,33.86,-0.11,-0.10,1.13,-0.1,7.0,31595,23.83,16.42,4.36,29.26,"0636+2305"
-70.91,3.60,17.16,0.75,0.79,0.00886,5.1,9.4,31597,-83.20,-44.46,-25.61,97.75,"0636+3751"
-169.58,-159.49,-37.84,1.56,1.54,2.32,-0.9,6.0,31599,36.40,8.41,-4.72,37.66,"0636-1319"
-890.18,-455.19,-19.39,0.44,0.51,2.94,-1.2,8.8,31598,-1.66,15.85,1.50,16.00,"0636+0441"
-164.57,-457.66,-178.67,1.15,1.06,7.67,-2.2,6.4,31603,-7.34,5.23,9.74,13.27,"0636-4133"
-49.49,-115.58,-43.30,1.03,1.00,0.685,0.4,6.0,31617,-27.77,-0.87,6.66,28.57,"0637-3809"
-234.74,-59.52,23.57,1.28,1.24,0.55,0.6,7.6,31618,59.21,-24.69,7.91,64.63,"0637+1909"
-92.35,-45.81,-1.20,0.33,0.38,0.148,2.1,7.1,31622,-24.83,7.39,0.40,25.91,"0637+0531"
-16.30,-29.42,-10.21,0.70,0.75,0.0108,4.9,7.7,31623,25.79,-18.89,55.12,63.72,"0637-3213"
-233.47,-127.11,-8.32,1.52,1.56,0.0578,3.1,10.2,31624,-4.25,6.93,-0.68,8.16,"0637+0303"
-33.27,-8.11,3.50,1.20,1.16,0.001,7.5,10.2,31626,-70.89,-9.46,14.99,73.07,"0637+1945"
-9.44,-2.65,0.84,1.48,1.95,0.000136,9.7,9.6,31635,51.17,59.73,-22.86,81.91,"0637+1733"
-198.10,-438.53,-161.62,-0.11,-0.10,13.3,-2.8,5.7,31637,-33.59,17.03,-9.83,38.92,"0637-3659"
-356.73,-187.74,-9.31,1.19,1.15,0.448,0.9,8.9,31641,-19.98,-20.28,12.81,31.21,"0637+0359"
-160.04,-497.52,-197.39,-0.15,-0.13,5.58,-1.9,6.9,31642,-23.29,-0.67,-13.56,26.96,"0637-4327"
-899.74,-436.39,-5.43,0.02,0.04,38,-3.9,6.0,31646,-14.67,12.03,0.93,18.99,"0637+0608  Plaskett'S Star"
-162.81,-26.89,23.40,0.10,0.11,0.737,0.3,6.4,31650,10.82,19.50,5.25,22.91,"0637+2435"
-216.07,-44.31,27.06,0.07,0.09,0.418,0.9,7.7,31651,-32.44,-6.06,5.05,33.38,"0637+2208"
-25.60,-9.58,1.19,0.72,0.78,0.0137,4.7,6.8,31660,-31.91,-30.50,-16.34,47.06,"0637+1210"
-251.65,-100.17,8.99,1.35,1.36,2.04,-0.8,6.4,31662,11.89,0.42,-56.45,57.69,"0637+1051"
-86.10,33.73,34.83,0.01,0.03,0.438,0.9,5.9,31665,10.50,21.93,5.05,24.84,"0637+5651 11 Lyn"
-127.30,-70.43,-4.64,1.08,1.05,0.721,0.4,6.2,31672,26.40,4.40,-32.97,42.47,"0637+0242"
-61.46,-57.38,-13.15,0.99,0.92,0.261,1.5,6.1,31674,37.73,-23.40,-12.86,46.22,"0637-1259"
-44.22,21.69,19.94,0.90,0.90,0.119,2.3,5.9,31676,2.23,-38.82,-76.85,86.13,"0637+6129 8 Lyn"
-30.67,-9.25,2.49,0.00,0.04,1.75,-0.6,1.9,31681,23.70,10.69,1.51,26.04,"0637+1624 gam Gem Alhena"
-37.66,-115.47,-45.50,-0.10,-0.07,9.08,-2.4,3.2,31685,2.83,-12.22,-4.50,13.33,"0637-4312 nu Pup"
-56.01,-101.80,-35.03,1.18,1.16,1.17,-0.2,5.2,31688,-47.54,-64.85,54.62,97.21,"0637-3220"
-218.99,-178.91,-34.68,1.07,0.97,0.882,0.1,7.4,31693,44.97,5.38,7.05,45.84,"0637-0846"
-534.34,-254.18,0.43,0.92,0.92,1.59,-0.5,8.4,31694,-41.16,-17.78,-30.40,54.17,"0637+0640"
-891.12,-453.58,-13.03,0.09,0.23,35,-3.9,6.1,31697,-23.16,5.94,9.42,25.70,"0637+0457"
-93.64,-103.52,-27.40,1.14,1.12,3.45,-1.3,4.4,31700,13.94,15.88,1.12,21.16,"0637-1814 nu3 CMa"
-25.02,20.30,15.04,0.40,0.46,0.0396,3.5,6.3,31703,0.04,31.76,-15.96,35.54,"0637+7342"
0.41,-19.60,-9.22,0.62,0.69,0.0163,4.5,6.2,31711,1.73,-12.48,-9.96,16.06,"0638-6132"
-222.69,-14.34,43.09,0.12,0.13,0.599,0.6,7.3,31716,21.50,15.27,3.90,26.66,"0638+3053"
-187.74,-125.23,-16.07,1.47,1.47,1.79,-0.6,6.1,31733,-19.99,12.52,-5.34,24.18,"0638-0233"
-126.59,-12.11,22.82,-0.00,0.02,0.829,0.2,5.8,31737,-0.73,11.25,-5.59,12.59,"0638+2859 53 Aur"
-888.30,-459.06,-13.73,0.14,0.15,5.55,-1.9,8.1,31739,-10.82,11.28,-1.81,15.73,"0638+0437"
-77.62,18.36,25.99,0.73,0.78,0.00636,5.5,10.1,31740,-93.50,-80.93,46.90,132.26,"0638+4847"
-199.50,31.37,59.46,0.48,0.55,0.203,1.7,8.3,31743,25.00,12.10,-7.69,28.82,"0638+4418"
-888.10,-459.46,-13.51,0.11,0.12,13.9,-2.9,7.1,31749,-18.22,9.92,0.38,20.75,"0638+0436"
-95.31,-101.09,-25.43,0.04,0.06,0.787,0.3,6.0,31758,13.58,1.39,-6.66,15.19,"0638-1652"
-27.64,-120.91,-49.89,1.00,0.89,1.71,-0.6,5.0,31765,-7.93,-8.81,2.77,12.17,"0638-4813"
-865.13,-500.19,-36.83,0.09,0.10,32.2,-3.8,6.2,31766,-38.07,-23.88,0.38,44.94,"0638+0137"
-93.72,6.90,24.37,1.37,1.34,0.495,0.8,5.7,31771,-33.28,-23.29,-12.76,42.57,"0638+3923 51 Aur"
-944.11,160.51,287.93,1.59,1.61,2.56,-1.0,9.0,31780,28.59,-7.01,-24.79,38.48,"0638+4504"
-903.68,-428.17,6.09,0.00,0.02,16.7,-3.1,6.9,31787,-24.09,10.52,-6.05,26.97,"0638+0654"
-224.12,18.35,59.29,-0.07,-0.05,3.95,-1.5,5.3,31789,-3.52,8.34,-3.73,9.79,"0638+3954 psi3 Aur"
-496.35,-256.31,-6.38,-0.07,-0.05,7.42,-2.2,6.6,31790,-21.81,3.52,-0.68,22.11,"0638+0442"
-895.40,-445.25,-3.41,-0.13,-0.12,4.02,-1.5,8.5,31793,11.55,3.09,-13.52,18.05,"0638+0541"
-241.00,-267.12,-68.85,1.65,2.15,1.89,-0.7,7.1,31811,6.68,11.03,9.83,16.22,"0639-1811"
-239.20,-127.29,-4.50,0.27,0.30,0.438,0.9,8.1,31812,3.93,16.46,-10.60,19.96,"0639+0356"
-124.78,-26.21,16.27,1.03,0.92,0.605,0.5,6.1,31813,21.87,1.03,7.02,23.00,"0639+2202"
-159.90,-8.30,32.57,0.11,0.12,0.235,1.6,7.6,31816,0.56,23.29,-4.40,23.71,"0639+3145"
-386.80,-692.52,-231.99,-0.18,-0.18,5.73,-1.9,7.7,31824,-21.88,-1.48,-0.78,21.94,"0639-3150"
-341.65,-332.99,-75.94,1.46,1.45,27.5,-3.6,4.8,31827,1.85,-18.70,5.26,19.52,"0639-1409"
-511.50,-102.81,69.35,2.59,2.59,0.204,1.7,10.3,31829,-33.58,-1.81,11.66,35.60,"0639+2236"
-126.59,15.80,36.25,1.24,1.17,2.11,-0.8,4.8,31832,-15.39,-13.95,-1.36,20.82,"0639+4229 psi2 Aur"
-34.29,-5.79,5.20,0.52,0.60,0.0331,3.7,6.4,31850,-21.14,23.36,21.63,38.21,"0639+2436"
-212.76,-23.26,38.10,-0.09,-0.07,1.85,-0.7,6.0,31852,-10.37,7.06,1.22,12.61,"0639+2816 54 Aur"
-912.27,-409.08,20.65,0.23,0.26,2.75,-1.1,8.9,31854,27.54,16.08,8.30,32.95,"0639+0821"
-110.13,-146.75,-42.43,-0.03,-0.01,1.35,-0.3,6.0,31859,0.63,-9.60,2.23,9.88,"0639-2342"
-36.04,-61.29,-19.97,1.13,1.07,0.286,1.4,5.7,31870,79.17,11.10,-13.76,81.12,"0639-3028"
-83.14,-30.35,5.18,0.06,0.07,0.316,1.3,6.0,31876,29.19,20.50,-2.22,35.74,"0639+1259"
-423.13,-208.46,1.66,-0.04,-0.01,1.39,-0.4,8.0,31881,-6.82,12.29,-0.61,14.07,"0639+0603"
-50.47,-119.15,-43.22,1.18,1.13,0.43,0.9,6.6,31886,31.59,-21.86,29.05,48.16,"0639-3809"
-192.68,28.93,57.89,1.22,1.18,1.19,-0.2,6.3,31889,47.90,5.69,18.64,51.71,"0639+4401"
-607.61,-438.61,-61.28,0.16,0.28,1.84,-0.7,8.7,31894,-12.78,-4.78,14.40,19.84,"0640-0441"
42.36,-101.74,-56.65,0.21,0.24,0.875,0.1,5.6,31897,-17.96,-1.39,2.41,18.17,"0640-8049 zet Men"
-139.59,21.68,42.40,1.03,1.00,0.434,0.9,6.8,31916,21.34,-4.31,10.19,24.04,"0640+4419"
-250.83,-179.83,-24.37,1.55,1.61,1.23,-0.2,7.2,31921,-22.04,-0.00,-3.27,22.28,"0640-0427"
-72.10,73.32,50.48,0.07,0.08,0.264,1.4,6.7,31922,20.33,17.72,4.24,27.30,"0640+7935"
-888.68,-458.51,-4.08,-0.07,-0.05,2.19,-0.8,9.2,31923,-19.29,14.14,-3.63,24.19,"0640+0454"
-224.27,-171.05,-26.44,1.61,2.36,1.38,-0.4,6.9,31925,16.09,27.29,32.95,45.71,"0640-0620"
-315.16,-133.45,12.27,-0.14,-0.14,0.645,0.5,8.2,31939,-4.23,2.43,3.72,6.13,"0640+0949"
-115.47,110.39,77.65,1.49,1.51,1.58,-0.5,5.8,31940,17.89,-1.57,11.27,21.20,"0640+7800"
-496.46,-242.37,4.71,-0.14,-0.13,7.6,-2.2,6.5,31945,-16.55,6.79,1.19,17.93,"0640+0622"
-147.51,110.78,85.32,1.22,1.18,1.84,-0.7,5.9,31946,34.62,9.09,3.14,35.93,"0640+7145"
-592.62,-324.40,-10.18,1.42,1.40,3.46,-1.3,7.8,31952,-31.68,4.41,-1.93,32.05,"0640+0322"
-612.74,-261.60,23.61,-0.16,-0.17,2.91,-1.2,8.0,31955,3.32,-4.14,-3.82,6.54,"0640+0939"
-51.18,-215.17,-86.63,-0.14,-0.14,1.22,-0.2,6.7,31962,-7.42,-8.23,-3.59,11.65,"0640-4737"
-67.05,-283.13,-114.02,1.60,2.02,2.02,-0.8,6.7,31966,26.47,-7.65,-2.01,27.63,"0640-4740"
-728.54,-671.37,-136.00,0.05,0.06,17.1,-3.1,6.9,31976,19.25,21.72,2.86,29.16,"0640-1210"
25.74,-116.05,-59.21,1.11,1.05,0.443,0.9,6.5,31977,41.89,-1.23,8.01,42.67,"0640-7146"
-288.48,-122.08,12.03,-0.23,-0.22,13.4,-2.8,4.7,31978,-16.06,1.95,5.95,17.23,"0640+0954 S Mon"
-267.54,-212.91,-34.41,1.54,1.60,2.17,-0.8,6.8,31985,-30.98,-7.95,1.57,32.03,"0641-0734"
-302.77,-184.16,-12.85,-0.09,-0.08,6.07,-2.0,5.8,31992,-6.15,4.26,-8.65,11.44,"0641+0030"
-176.90,11.94,47.25,1.06,1.03,0.424,0.9,7.2,31995,36.11,16.05,10.10,40.78,"0641+3914"
-142.53,-76.04,-1.06,0.45,0.52,0.177,1.9,7.9,32006,35.39,2.74,-12.18,37.53,"0641+0408"
-108.49,-287.19,-105.65,-0.15,-0.14,3.62,-1.4,6.2,32007,-13.45,8.09,-0.75,15.72,"0641-4021"
-17.05,-3.11,2.61,1.02,1.07,0.0018,6.9,8.1,32010,59.66,-4.15,6.10,60.12,"0641+2357"
-723.59,-292.12,37.77,1.68,2.10,20.4,-3.3,6.2,32012,-10.33,25.89,37.97,47.10,"0641+1100"
-189.09,-16.78,37.11,1.21,1.17,0.566,0.6,7.0,32014,7.94,-12.39,0.46,14.72,"0641+2942"
-50.44,56.87,37.94,0.70,0.76,0.0138,4.7,9.3,32015,-26.58,-40.40,9.53,49.29,"0641+8216"
-423.04,-48.00,78.33,1.09,0.91,4.93,-1.7,6.5,32019,15.51,11.39,5.33,19.96,"0641+2812 25 Gem"
-229.26,-70.85,21.98,-0.02,0.01,1.79,-0.6,6.3,32020,-11.84,7.34,2.39,14.13,"0641+1624"
-303.49,-129.00,13.15,-0.14,-0.14,1.07,-0.1,7.5,32030,-10.62,1.91,2.56,11.09,"0641+0951"
-895.96,-444.03,10.17,0.22,0.24,15.8,-3.0,7.0,32034,-19.18,4.81,-2.25,19.90,"0641+0606"
-76.44,0.93,18.63,0.51,0.58,0.158,2.0,6.5,32040,-78.61,10.77,18.45,81.46,"0641+3556"
-267.47,-35.36,47.66,0.89,0.90,0.723,0.4,7.5,32044,-1.08,19.38,-8.91,21.35,"0641+2704"
